Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
allá,,there (far away),there (far away),there,,far away,Adverb,,[sound:spanishdict-7e53e1b7-5f4ed7d8-491a28a7-f632f33c-6d97bfd7.mp3],23,Adverbs
solamente,ú…,only,only,only,,,Adverb,,[sound:spanishdict-b45bb315-e224bf5e-c1086b97-d6968292-5a9a9f7c.mp3],23,Adverbs
sólo,,"only, just","only, just","only, just",,,Adverb,,[sound:spanishdict-e42e0326-f8343bb4-3c0de006-99a7cac5-95c7570f.mp3],23,Adverbs
definitivamente,,definitely,definitely,definitely,,,Adverb,,[sound:spanishdict-2f54b30b-a6297f67-a506619f-411815b0-d75e4a4a.mp3],23,Adverbs
siempre,,always,always,always,,,Adverb,,[sound:spanishdict-fc7642e4-55c08ffb-2408014b-392bdf3a-a05084b6.mp3],23,Adverbs
simplemente,,simply,simply,simply,,,Adverb,,[sound:spanishdict-ff47c196-44ad2f51-a418ffd0-091978a6-780d101e.mp3],23,Adverbs
debajo,,underneath,underneath,underneath,,,Adverb,,[sound:spanishdict-9776d24f-b3fd9844-1534c0ba-625ee5c5-65318f30.mp3],23,Adverbs
fácilmente,,easily,easily,easily,,,Adverb,,[sound:spanishdict-f8434b2a-b3e4bd21-a9fe9794-b3c40775-7bbe6b6a.mp3],23,Adverbs
finalmente,,finally,finally,finally,,,Adverb,,[sound:spanishdict-46a74ab8-bef24903-4afe8890-193d2979-64266699.mp3],23,Adverbs
"supuesto, supuesta",,supposed; assumed,supposed; assumed,supposed; assumed,,,Adverb,,[sound:spanishdict-c79ab9fe-dbe6c681-9670e056-4c5f37d3-9205a3df.mp3],23,Adverbs
necesariamente,,necessarily,necessarily,necessarily,,,Adverb,,[sound:spanishdict-41f67694-9151b83c-c5d8a722-ebd7fcc9-2f9d750a.mp3],23,Adverbs
también,,"also, too","also, too","also, too",,,Adverb,,[sound:spanishdict-23324485-2ae8c34c-335ab4dd-c369b432-ff9609b1.mp3],23,Adverbs
naturalmente,,naturally,naturally,naturally,,,Adverb,,[sound:spanishdict-637bc4d3-1ee7b15e-1df01635-3b0884ad-c233ab54.mp3],23,Adverbs
apenas,,"hardly, barely","hardly, barely","hardly, barely",,,Adverb,,[sound:spanishdict-1a8adee4-8774f3b7-61031a8d-23935a60-ae64ecac.mp3],23,Adverbs
la pantalla táctil,,touch screen,touch screen,touch screen,,,Noun,f,[sound:spanishdict-78206125-1ec9c341-654f2306-0c4b956d-8f828995.mp3],24,Objects
la bandera,,flag,flag,flag,,,Noun,f,[sound:spanishdict-dfbc2d83-908383e9-e573212f-5e9ec116-dca67f03.mp3],24,Objects
las tijeras,,scissors,scissors,scissors,,,Noun,f,[sound:spanishdict-02741aad-eee10973-5644b88a-da6f2005-21f6ed40.mp3],24,Objects
la regla,,rule,rule,rule,,,Noun,f,[sound:spanishdict-ce2bf884-96c27a7c-619aad4b-9a71f67a-28e90272.mp3],24,Objects
la batería,,battery,battery,battery,,,Noun,f,[sound:spanishdict-4d6db02a-6e61f5ab-a99e2475-bb138d14-31691015.mp3],24,Objects
la nota,,note,note,note,,,Noun,f,[sound:spanishdict-4f8e16e4-6fd18892-37d7b974-4c652462-a3eef37a.mp3],24,Objects
el vehículo,,vehicle,vehicle,vehicle,,,Noun,m,[sound:spanishdict-ee3e6ca7-655ec106-4e12dc59-3f3b1d6b-3799cade.mp3],24,Objects
la rueda,,wheel,wheel,wheel,,,Noun,f,[sound:spanishdict-5f4a4c0d-75eb55fb-ad360149-14ae7426-4629ea67.mp3],24,Objects
el alcohol,,alcohol,alcohol,alcohol,,,Noun,m,[sound:spanishdict-b30694a3-cef49703-5ba893d3-69c690a6-776222c1.mp3],24,Objects
la computadora,,computer (Latin America),computer (Latin America),computer,,Latin America,Noun,f,[sound:spanishdict-c3ba0dd2-06e1e1a6-75e6c63d-8570f175-2d8ba147.mp3],24,Objects
el dinero,,money,money,money,,,Noun,m,[sound:spanishdict-3548a9e0-e6bf41c4-99c19007-12a8ce77-6862e44d.mp3],24,Objects
la fuente,,source; fountain,source; fountain,source; fountain,,,Noun,f,[sound:spanishdict-fb0b3ff2-1ac9716a-9234a6d7-978dbd40-54e05e4b.mp3],24,Objects
el documento,,document,document,document,,,Noun,m,[sound:spanishdict-755c4dbb-6f27986e-1cb65f28-c22f5279-612d318b.mp3],24,Objects
la pluma,el bolí,pen,pen,pen,,,Noun,f,[sound:spanishdict-aa382239-c73d2916-09dd1710-3251ef57-5f76e3cd.mp3],24,Objects
el reloj,,"clock, watch","clock, watch","clock, watch",,,Noun,m,[sound:spanishdict-b7781f6f-dcd4dfdf-1dbcdc94-6c67538a-8de6afd9.mp3],24,Objects
la pieza,,"piece, part","piece, part","piece, part",,,Noun,f,[sound:spanishdict-56669f95-dbb76c26-03ef676e-4b6b27d9-efeb1bc7.mp3],24,Objects
la mochila,,backpack,backpack,backpack,,,Noun,f,[sound:spanishdict-b88117da-0c0048a5-3be5a949-143c5046-ab08539f.mp3],24,Objects
la bomba,,<li>bomb<li>pump,<li>bomb<li>pump,<li>bomb<li>pump,,,Noun,f,[sound:spanishdict-1dd5ae98-45ff07f4-ad5d5154-4ae6e682-1275e3e7.mp3],24,Objects
el papel,,paper,paper,paper,,,Noun,m,[sound:spanishdict-8ad231d1-823d6181-849c58ca-f3c2b187-523971ae.mp3],24,Objects
la cámara,,camera; chamber,camera; chamber,camera; chamber,,,Noun,f,[sound:spanishdict-cb3da8e4-0bff3f29-4afd828f-71a32a1a-7c8b9934.mp3],24,Objects
el mapa,,map,map,map,,,Noun,m,[sound:spanishdict-fb1ff95b-82fd1cd2-31d72b0c-0c3ad0c8-ef546ca8.mp3],24,Objects
el bolígrafo,,ballpoint pen,ballpoint pen,ballpoint pen,,,Noun,m,[sound:spanishdict-db308b71-a5f383b8-2bb7aa49-6030f2ca-b222c367.mp3],24,Objects
el polvo,,"powder, dust","powder, dust","powder, dust",,,Noun,m,[sound:spanishdict-c1096475-8dd9099b-7c964133-b57f68cb-0d6cdf5c.mp3],24,Objects
la columna,,column,column,column,,,Noun,f,[sound:spanishdict-b40cad5e-750d6860-e7403354-8f67b5cb-6110cba4.mp3],24,Objects
el coche,a…,"car, automobile, coach, carriage","car, automobile, coach, carriage","car, automobile, coach, carriage",,,Noun,m,[sound:spanishdict-8b5726fa-1279dde1-7ebec8a6-fa836167-c13261e6.mp3],24,Objects
la cadena,,chain,chain,chain,,,Noun,f,[sound:spanishdict-88d1f419-35efc063-35981877-b9b2cc84-e514370c.mp3],24,Objects
el barco,,"ship, boat","ship, boat","ship, boat",,,Noun,m,[sound:spanishdict-28707de3-e03f5497-e5627289-f506038f-f7541877.mp3],24,Objects
el periódico,el diario,newspaper,newspaper,newspaper,,,Noun,m,[sound:spanishdict-8c46a2f6-6b71f9c1-9ad3c0eb-71e3b16a-75fca023.mp3],24,Objects
el objeto,,object; purpose,object; purpose,object; purpose,,,Noun,m,[sound:spanishdict-18d4368b-5a3ee1fa-4d96405a-6d4e8ed7-b769140e.mp3],24,Objects
la bola,,ball,ball,ball,,,Noun,f,[sound:spanishdict-ae6a6b21-dc66d550-118bcf53-4de155a4-619ba0c7.mp3],24,Objects
el auto,el coche,car,car,car,,,Noun,m,[sound:spanishdict-31579715-17b6919b-85526a14-2bb1a5d9-04c6b143.mp3],24,Objects
la bicicleta,,bicycle,bicycle,bicycle,,,Noun,f,[sound:spanishdict-cb957ebb-87c2865f-262e7341-9d290283-1b8b4c3d.mp3],24,Objects
la lista,,list,list,list,,,Noun,f,[sound:spanishdict-ecece27a-b0554855-91ec28a0-de4cf308-db7cd8b6.mp3],24,Objects
el autobús,,bus,bus,bus,,,Noun,m,[sound:spanishdict-b870c511-876f75bd-d3e99a34-27b5f7fa-b2ee839b.mp3],24,Objects
el avión,,airplane,airplane,airplane,,,Noun,m,[sound:spanishdict-1920ce3d-a4f02d2a-37f69a2e-4aa0615a-b88ed174.mp3],24,Objects
la radio,,radio,radio,radio,,,Noun,f,[sound:spanishdict-280892be-7ef13ca4-032e3aeb-8540fe2d-c0ec8d53.mp3],24,Objects
la página,,page,page,page,,,Noun,f,[sound:spanishdict-472003fa-57e9515c-a4c2a7ce-223debdf-061e5f4b.mp3],24,Objects
el dólar,,dollar,dollar,dollar,,,Noun,m,[sound:spanishdict-48071aed-ad9f2ffe-014715ea-efca85c4-cbd67782.mp3],24,Objects
la máquina,,machine,machine,machine,,,Noun,f,[sound:spanishdict-91154ea5-6e47307d-f6b566da-01bba84a-6cd3932c.mp3],24,Objects
el tren,,train,train,train,,,Noun,m,[sound:spanishdict-241e0016-75039d5c-739f0d84-817519c3-f84c68d1.mp3],24,Objects
el aparato,,"device, gadget","device, gadget","device, gadget",,,Noun,m,[sound:spanishdict-7d3a7d66-1576b119-163083a2-e14fddb7-3b02301f.mp3],24,Objects
la pantalla,,screen,screen,screen,,,Noun,f,[sound:spanishdict-8e8823ac-8136b2b7-5fe2c1e7-ed139717-2bbca87f.mp3],24,Objects
el puente,,bridge,bridge,bridge,,,Noun,m,[sound:spanishdict-116d1f42-6adcb0d2-b7e79e56-ca89a4e1-ead370a1.mp3],24,Objects
la tarjeta,,card,card,card,,,Noun,f,[sound:spanishdict-a6f60b2c-d202523a-6de7ec8b-1d4e71ff-6ef72e19.mp3],24,Objects
la bomba de bicicleta,,bicycle pump,bicycle pump,bicycle pump,,,Noun,f,[sound:spanishdict-7f996caa-ffef9357-65f35fd0-1cb71b17-38bc002e.mp3],24,Objects
la moneda,,coin; currency,coin; currency,coin; currency,,,Noun,f,[sound:spanishdict-799a91ba-0cbdda60-ac70486c-81d0940d-ea3f5282.mp3],24,Objects
la caja,,box,box,box,,,Noun,f,[sound:spanishdict-63dd1a4a-6911fabe-48019da5-73092b19-4759b60e.mp3],24,Objects
la cosa,,thing,thing,thing,,,Noun,f,[sound:spanishdict-a83c01c2-0382c95f-5bfe90d1-a34b62c5-ee36a917.mp3],24,Objects
la campana,,bell,bell,bell,,,Noun,f,[sound:spanishdict-3e1560df-55d7b19d-7c95a086-81c84527-f8542432.mp3],24,Objects
la bolsa,,bag,bag,bag,,,Noun,f,[sound:spanishdict-b47b64e9-fd0a9afe-9622f175-671f23a2-367e38a4.mp3],24,Objects
"el arma, la arma",,weapon,weapon,weapon,,,Noun,m,[sound:spanishdict-cc38428d-bf0bf356-0ea5ff19-4ce3bd75-8d044bcc.mp3],24,Objects
la foto,la fotografía,photo,photo,photo,,,Noun,f,[sound:spanishdict-89f7e791-37d809ba-8f2ea4b5-3ba6b433-f438e16d.mp3],24,Objects
la revista,,magazine,magazine,magazine,,,Noun,f,[sound:spanishdict-1b96f255-cd6feaf8-f4eb6795-b4884d6b-8d6b7892.mp3],24,Objects
la copa,la taza,cup; drink,cup; drink,cup; drink,,,Noun,f,[sound:spanishdict-ed1433f3-d2e25e21-462ff59a-a828427e-21564188.mp3],24,Objects
el teléfono celular,el móvil,cellphone,cellphone,cellphone,,,Noun,m,[sound:spanishdict-b0ebfeb8-077e942f-9f571ce6-c71810b7-35cf7f88.mp3],24,Objects
la botella,,bottle,bottle,bottle,,,Noun,f,[sound:spanishdict-214bfdd7-cd1107c0-6d13fc17-75f0acc3-a55882b0.mp3],24,Objects
el motor,,"engine, motor","engine, motor","engine, motor",,,Noun,m,[sound:spanishdict-7a75f694-7ddf64ee-75895853-2e553151-392950bb.mp3],24,Objects
la maleta,,suitcase,suitcase,suitcase,,,Noun,f,[sound:spanishdict-0a101996-a821a68f-9580aae1-6fd176f7-bb69f0be.mp3],24,Objects
la moto,,motorcycle,motorcycle,motorcycle,,,Noun,f,[sound:spanishdict-75bd0640-162da9e1-df45f6d5-523f3b77-b7dbbd00.mp3],24,Objects
estar,,"to be (temporary qualities/states, location, feeling)","to be (temporary qualities/states, location, feeling)",to be,,"temporary qualities/states, location, feeling",Verb,,[sound:spanishdict-3d358a08-4ba4f371-92260f0e-467eaf33-003a6c84.mp3],25,ToBe
ser,,to be (permanent; used for lasting attributes),to be (permanent; used for lasting attributes),to be,,permanent; used for lasting attributes,Verb,,[sound:spanishdict-cd4a18ab-8f506e53-a13dc30d-b08fb0a8-2423d5c7.mp3],25,ToBe
la calle,,street,street,street,,,Noun,f,[sound:spanishdict-9ae8fafa-f91c55a4-bce382e8-65cb2c3b-669be35d.mp3],26,Places
la casa,,house,house,house,,,Noun,f,[sound:spanishdict-e3117c97-9409be3f-8a55c588-b02df58b-52296c08.mp3],26,Places
la ciudad,,city,city,city,,,Noun,f,[sound:spanishdict-671d0dc6-6e26d69c-0b29ad39-9e9d1ac7-1f9baf46.mp3],26,Places
la escuela,c…,school,school,school,,,Noun,f,[sound:spanishdict-f768c22c-c90dd0cb-99129b3d-f6d63fdc-b85d8059.mp3],26,Places
el patio,,courtyard; playground,courtyard; playground,courtyard; playground,,,Noun,m,[sound:spanishdict-835ca353-83f92138-8bc5381b-f1102a32-19c065a8.mp3],26,Places
el terreno,,"ground, terrain","ground, terrain","ground, terrain",,,Noun,m,[sound:spanishdict-58f2a278-b9001538-31852e1c-4f423ddb-ffeda56f.mp3],26,Places
la agencia,,agency,agency,agency,,,Noun,f,[sound:spanishdict-2734ea2e-d2f5d08a-8be016ef-1278d1b6-fa1df408.mp3],26,Places
la capital,,capital,capital,capital,,,Noun,f,[sound:spanishdict-8b49e991-5a110591-3c95237a-79bd08b3-1c962e08.mp3],26,Places
la distancia,,distance,distance,distance,,,Noun,f,[sound:spanishdict-e3c227b3-bbeda822-7cb0c55f-b3124de7-a6658dbc.mp3],26,Places
la sala,el salón,"living room, lounge","living room, lounge","living room, lounge",,,Noun,f,[sound:spanishdict-a665cf5d-c0d9b366-2a24b9c5-4fd62575-fd4e9864.mp3],26,Places
la frontera,,border,border,border,,,Noun,f,[sound:spanishdict-019312be-ff8f77be-01908e77-0ef30269-1ea3b7f4.mp3],26,Places
el departamento,,department; apartment,department; apartment,department; apartment,,,Noun,m,[sound:spanishdict-c6b38e91-7d7a5ac5-1611a191-b9cc6148-9c65421c.mp3],26,Places
la esquina de la calle,,the street corner,the street corner,the street corner,,,Noun,f,[sound:spanishdict-6d35fec7-69749403-139a750b-c28daa5c-49747b46.mp3],26,Places
la nación,,nation,nation,nation,,,Noun,f,[sound:spanishdict-5c366d23-9196e1f6-e639c6b0-117dea92-56a2772e.mp3],26,Places
la costa,,coast,coast,coast,,,Noun,f,[sound:spanishdict-44d1de7f-e62abdf7-9db50a87-0be8d188-0b848022.mp3],26,Places
el salón,la sala,sitting room,sitting room,sitting room,,,Noun,m,[sound:spanishdict-88816a12-45758326-81eb7b02-2f5e61ed-cef5fed5.mp3],26,Places
la biblioteca,,library,library,library,,,Noun,f,[sound:spanishdict-82939fd5-0095a6b7-be1c9a81-d965dc53-82013c60.mp3],26,Places
la ruta,,route,route,route,,,Noun,f,[sound:spanishdict-deee2380-b3e8fa55-87b0d2db-21a97109-c5e99860.mp3],26,Places
el restaurante,,restaurant,restaurant,restaurant,,,Noun,m,[sound:spanishdict-73e6ff09-c2576603-ec4e5acf-c3b59e41-b1c9e58c.mp3],26,Places
la zona,el área,"area, zone","area, zone","area, zone",,,Noun,f,[sound:spanishdict-840d0bf9-cfc8c7e9-21850770-13cf4e2f-c1ef9ca1.mp3],26,Places
el pueblo,,"town, village","town, village","town, village",,,Noun,m,[sound:spanishdict-8c1289dd-f5ee573f-1715b933-2c50c654-c6ee37c0.mp3],26,Places
la institución,,institution,institution,institution,,,Noun,f,[sound:spanishdict-43d0ba0b-ecbe9feb-cc7393cf-9bed55a8-fb8c8694.mp3],26,Places
la isla,,island,island,island,,,Noun,f,[sound:spanishdict-93726b23-e01dd198-5f1ead73-97381345-726a0d16.mp3],26,Places
la avenida,,avenue,avenue,avenue,,,Noun,f,[sound:spanishdict-a28004fe-8ec832ff-216ca269-c83f97a9-a3407388.mp3],26,Places
el cuarto,,<li>fourth<li>room,<li>fourth<li>room,<li>fourth<li>room,,,Noun,m,[sound:spanishdict-bfa0e789-0f8c2c04-9e0839ea-faeee8e6-7724fe4b.mp3],26,Places
la pista,,court; track; clue,court; track; clue,court; track; clue,,,Noun,f,[sound:spanishdict-8e41939e-4d317d8b-0f2ba679-049af3db-2acb5eb2.mp3],26,Places
el palacio,,palace,palace,palace,,,Noun,m,[sound:spanishdict-c17480ff-0b8aefb5-04a1bad8-65ec65b4-a24871be.mp3],26,Places
el parque,,park,park,park,,,Noun,m,[sound:spanishdict-e41a7c30-70e3cb40-2208cbb7-22cc87a6-216e676f.mp3],26,Places
el instituto,,high school; institute,high school; institute,high school; institute,,,Noun,m,[sound:spanishdict-449b4ab1-84a37607-c6fcbbe5-21b73403-6e157db7.mp3],26,Places
el hotel,,hotel,hotel,hotel,,,Noun,m,[sound:spanishdict-0098fd78-291bceb6-71b1a365-21d7e4a8-23b8a1b6.mp3],26,Places
el país,,country,country,country,,,Noun,m,[sound:spanishdict-eb5cf109-4814ccbb-1604076a-5f8c423b-e0cf61da.mp3],26,Places
el puerto,,harbor; port,harbor; port,harbor; port,,,Noun,m,[sound:spanishdict-1f150525-03d9ae00-26d035c9-b7e561e8-d5668c57.mp3],26,Places
la universidad,,university; college,university; college,university; college,,,Noun,f,[sound:spanishdict-7dac71e3-ef624be5-6812d798-5a51e32f-f63574a8.mp3],26,Places
el territorio,,territory,territory,territory,,,Noun,m,[sound:spanishdict-7a18cff5-b44736a9-be0a06d8-f404ebb1-cf13c631.mp3],26,Places
el castillo,,castle,castle,castle,,,Noun,m,[sound:spanishdict-d51c4953-2ccc6003-f15ca857-c2b57618-4ff7b978.mp3],26,Places
el banco,,bank; bench,bank; bench,bank; bench,,,Noun,m,[sound:spanishdict-f458ad52-79b1aa5d-b4d0e082-4f861b73-1bb744e7.mp3],26,Places
el lugar,el puesto,place,place,place,,,Noun,m,[sound:spanishdict-2b488610-4369b158-9773eb3f-077020df-6828261d.mp3],26,Places
la plaza,,square (location),square (location),square,,location,Noun,f,[sound:spanishdict-04731378-75326e25-9cae708e-f421554a-f5755659.mp3],26,Places
la playa,,beach,beach,beach,,,Noun,f,[sound:spanishdict-3605a04e-1fbe483d-aa05a23a-ef5162a5-587b603c.mp3],26,Places
la galería,,gallery,gallery,gallery,,,Noun,f,[sound:spanishdict-2b3ed3cf-2c997249-178b91f4-34fb1975-bcc545d5.mp3],26,Places
el jardín,,garden,garden,garden,,,Noun,m,[sound:spanishdict-aec7895b-5ca47d3f-7bff6662-e2867d1c-c6eab9ef.mp3],26,Places
el oeste,,west,west,west,,,Noun,m,[sound:spanishdict-1e58a8d8-85983357-34c39972-b932b002-4e53f760.mp3],26,Places
la región,,region,region,region,,,Noun,f,[sound:spanishdict-6e7dde4f-b6496bb7-d0515be7-8b6a5cc0-a3177116.mp3],26,Places
la colonia,,colony; community; cologne,colony; community; cologne,colony; community; cologne,,,Noun,f,[sound:spanishdict-1bebae91-0493bddc-bf85a9d8-36639acc-48b05071.mp3],26,Places
el hogar,,home; fireplace,home; fireplace,home; fireplace,,,Noun,m,[sound:spanishdict-731a782d-c0643c56-0cf78d44-456d38d1-db9c7ccd.mp3],26,Places
la patria,,native country; motherland,native country; motherland,native country; motherland,,,Noun,f,[sound:spanishdict-4caf974d-d4d2efc6-054e0e3e-ed4a619d-05e33762.mp3],26,Places
la carretera,,"road, highway","road, highway","road, highway",,,Noun,f,[sound:spanishdict-831f4b6f-f754c6a8-3c5cec03-e17b1c45-7d686bae.mp3],26,Places
la comunidad,,community,community,community,,,Noun,f,[sound:spanishdict-a4998a5d-1c1d3bb2-8725abde-6fb893c4-9db0dd18.mp3],26,Places
el festival,,festival,festival,festival,,,Noun,m,[sound:spanishdict-76a78208-d4d7cd5c-6232d9a8-b1061e8b-fae5750c.mp3],26,Places
el aeropuerto,,airport,airport,airport,,,Noun,m,[sound:spanishdict-868565ed-cc42446c-a28f7cc1-daeb571f-814fc85b.mp3],26,Places
la cárcel,,jail; prison,jail; prison,jail; prison,,,Noun,f,[sound:spanishdict-ad512dc0-23fd96e5-3033c095-89eb906c-24517bcb.mp3],26,Places
la torre,,tower,tower,tower,,,Noun,f,[sound:spanishdict-111ec9ba-3e6fd58f-50363583-4682421e-69f1a6e3.mp3],26,Places
la hacienda,,"estate, ranch, plantation","estate, ranch, plantation","estate, ranch, plantation",,,Noun,f,[sound:spanishdict-8da77659-949e786a-6f5b6ccb-627c0657-49d5abba.mp3],26,Places
el hospital,,hospital,hospital,hospital,,,Noun,m,[sound:spanishdict-8d5dbe53-c2cf063d-e630badf-911f4d53-96116ddc.mp3],26,Places
el bar,,bar,bar,bar,,,Noun,m,[sound:spanishdict-5bfa9efe-83e8731f-ce589b6a-cdc726e6-d9e03575.mp3],26,Places
la área,la zona,area,area,area,,,Noun,f,[sound:spanishdict-27d2a83c-2653d8df-090f3019-5b2bcfb6-4b261c55.mp3],26,Places
el continente,,continent,continent,continent,,,Noun,m,[sound:spanishdict-affb291a-9cffbae9-00fe7e94-ac5a7f2a-12aa1da8.mp3],26,Places
el museo,,museum,museum,museum,,,Noun,m,[sound:spanishdict-c3573190-70b453c1-06c0c51a-98941b39-c7d09e32.mp3],26,Places
la oficina,,office,office,office,,,Noun,f,[sound:spanishdict-c87bdebe-82936c31-d80bbfd8-93cd2417-3ff7718c.mp3],26,Places
el barrio,,neighborhood,neighborhood,neighborhood,,,Noun,m,[sound:spanishdict-1290801b-2edc4e11-7ace40e5-a5af1fc7-28cb0b28.mp3],26,Places
el edificio,,building,building,building,,,Noun,m,[sound:spanishdict-7a497341-92ac7c5b-c4b9d8c0-7ddd598a-8779b30d.mp3],26,Places
"el campesino, la campesina",,peasant,peasant,peasant,,,Noun,m/f,[sound:spanishdict-161665ce-7a50f740-089f4e8d-cf63866d-3a77f73a.mp3],27,People
"el individuo, la individua",,individual,individual,individual,,,Noun,m/f,[sound:spanishdict-801141e8-0595996a-5855d9a9-69f1c24b-237082dc.mp3],27,People
"el vecino, la vecina",,neighbor,neighbor,neighbor,,,Noun,m/f,[sound:spanishdict-860e7f3a-71cc33d0-80c0906e-17a0c2ab-4d4a1437.mp3],27,People
"el ciudadano, la ciudadana",,citizen,citizen,citizen,,,Noun,m/f,[sound:spanishdict-43cc4cf7-ce0894a1-4e443c38-9886c584-e2e9981a.mp3],27,People
la víctima,,victim,victim,victim,,,Noun,f,[sound:spanishdict-d7a1001d-38e85d6e-e55dd23d-ffc18cd6-976d3e56.mp3],27,People
la audiencia,,audience; hearing; court,audience; hearing; court,audience; hearing; court,,,Noun,f,[sound:spanishdict-f1535442-e550834d-2d174be4-6b586242-5cc36e1f.mp3],27,People
la revolución,,revolution,revolution,revolution,,,Noun,f,[sound:spanishdict-a87d8aa0-82847bf7-6853c4be-1f066888-c6c37dde.mp3],27,People
la población,,population,population,population,,,Noun,f,[sound:spanishdict-4c6044e7-ce325b14-d871f561-0bfa6652-54a64008.mp3],27,People
el señor,,"mister, sir","mister, sir","mister, sir",,,Noun,m,[sound:spanishdict-a1ecc063-3f8c6eb5-b98a2150-3836e835-0449d800.mp3],27,People
la cultura,,culture,culture,culture,,,Noun,f,[sound:spanishdict-fc068728-be5fcb45-7f7b4773-52ab9f57-7d84f6b1.mp3],27,People
la costumbre,,"habit, custom","habit, custom","habit, custom",,,Noun,f,[sound:spanishdict-763ee8a7-c0b5a40e-42674a41-aefce6f2-2785c084.mp3],27,People
"el enemigo, la enemiga",,enemy,enemy,enemy,,,Noun,m/f,[sound:spanishdict-1309c59a-7aa259cc-dadeb5ad-f8a09d9b-4bd5c2a4.mp3],27,People
la humanidad,,humanity,humanity,humanity,,,Noun,f,[sound:spanishdict-5565d326-c2a2fe27-37969d27-8404a30b-de07fc14.mp3],27,People
la gente,las personas,people,people,people,,,Noun,f,[sound:spanishdict-9c91347b-3fea4c07-cab45590-ce20bb10-feeab29e.mp3],27,People
el chico,el niño,boy,boy,boy,,,Noun,m,[sound:spanishdict-fd6665dc-adb5b2fc-91eb3b66-006e8e24-e6d84ecc.mp3],27,People
el turismo,,tourism,tourism,tourism,,,Noun,m,[sound:spanishdict-baf7e8ab-4b194d19-0f70ea4f-8482737f-407def11.mp3],27,People
el caballero,,gentleman; knight,gentleman; knight,gentleman; knight,,,Noun,m,[sound:spanishdict-7d64bcd1-b237c964-a6aabcf1-0bf20ac7-804ffe19.mp3],27,People
la pareja,,couple; pair (people),couple; pair (people),couple; pair,,people,Noun,f,[sound:spanishdict-0449beb6-194625c6-736150b1-02cbd4cf-4ed7e0cb.mp3],27,People
